200653_s_at,1653.7,P,0.000732
200654_at,2227.9,P,0.01416
200655_s_at,5623.4,P,0.000244
200656_s_at,775.3,P,0.018555
200657_at,5138.7,P,0.001953
200658_s_at,1855,P,0.000732
200659_s_at,1235.5,P,0.030273
200660_at,258.9,A,0.850342
200661_at,221.6,A,0.981445
200662_s_at,1291.1,P,0.046143
200663_at,1739.3,P,0.030273
200664_s_at,638.9,A,0.80542
200665_s_at,280.3,A,0.466064
200666_s_at,807,P,0.008057
200667_at,1114.5,P,0.008057
200668_s_at,3015.1,P,0.000244
200669_s_at,2564.7,P,0.005859
200670_at,4923.5,P,0.000244
200671_s_at,268.1,A,0.828613
200672_x_at,1388.4,A,0.149658
200673_at,1721.4,P,0.005859
200674_s_at,20655.8,P,0.000244
200675_at,3176.1,P,0.010742
200676_s_at,461.3,A,0.753906
200677_at,1840.8,P,0.001953
200678_x_at,1192.1,A,0.19458
200679_x_at,4732.2,P,0.000732
200680_x_at,10342.2,P,0.000244
200681_at,1193.6,P,0.00293
200682_s_at,894.1,P,0.000732
200683_s_at,650.8,A,0.366211
200684_s_at,351.6,A,0.432373
200685_at,565.5,A,0.149658
200686_s_at,1480.3,P,0.00415
200687_s_at,288.2,A,0.665527
200688_at,202.4,A,0.5
200689_x_at,11512.5,P,0.000244
200690_at,236.7,A,0.72583
200691_s_at,789.3,P,0.046143
200692_s_at,866.2,P,0.023926
200693_at,3934.1,P,0.000732
200694_s_at,1212.2,P,0.000732
200695_at,1508.7,A,0.334473
200696_s_at,2322.5,A,0.067627
200697_at,435.8,A,0.633789
200698_at,816.5,P,0.018555
200699_at,383.6,A,0.567627
200700_s_at,1135.5,P,0.018555
200701_at,1400.7,P,0.000244
200702_s_at,162.3,A,0.943848
200703_at,1904,P,0.037598
200704_at,649.2,A,0.111572
200705_s_at,7310.9,P,0.000244
200706_s_at,1040,A,0.111572
200707_at,234.9,A,0.80542
200708_at,154.8,A,0.753906
200709_at,2261,P,0.000732
200710_at,1943.8,A,0.171387
200711_s_at,1400.8,P,0.046143
200712_s_at,690.8,P,0.01416
200713_s_at,1779.1,P,0.023926
200714_x_at,2318.1,P,0.030273
200715_x_at,4712.4,P,0.001953
200716_x_at,26123.2,P,0.000244
200717_x_at,21331.1,P,0.000244
200718_s_at,3621.1,P,0.001221
200719_at,337.6,A,0.533936
200720_s_at,578.4,A,0.533936
200721_s_at,798.9,A,0.334473
200722_s_at,1272.4,P,0.000732
200723_s_at,3007.5,P,0.008057
200724_at,507.2,A,0.533936
200725_x_at,30149.8,P,0.000244
200726_at,1269.8,A,0.149658
200727_s_at,242.8,A,0.633789
200728_at,3409.4,P,0.000732
200729_s_at,2007.6,P,0.000732
200730_s_at,640.3,A,0.080566
200731_s_at,661,A,0.219482
200732_s_at,934,A,0.067627
200733_s_at,374.6,A,0.080566
200734_s_at,809.5,A,0.432373
200735_x_at,7485.6,P,0.000244
200736_s_at,4229.4,P,0.000732
200737_at,1463.3,P,0.010742
200738_s_at,4130.4,P,0.000244
200739_s_at,878.8,A,0.067627
200740_s_at,1576.5,P,0.046143
200741_s_at,27122.6,P,0.000244
200742_s_at,1488.3,P,0.000244
200743_s_at,1057.4,P,0.00293
200744_s_at,1506.2,A,0.129639
200745_s_at,1815,P,0.01416
200746_s_at,2560.7,P,0.00415
200747_s_at,1069.1,A,0.129639
200748_s_at,3739.6,P,0.000732
200749_at,544.6,A,0.366211
200750_s_at,2610.1,P,0.001953
200751_s_at,2049.1,P,0.001953
200752_s_at,1171.7,A,0.19458
200753_x_at,1480.7,A,0.080566
200754_x_at,5231.2,P,0.001221
200755_s_at,122.7,A,0.991943
200756_x_at,502.3,A,0.5
200757_s_at,720.2,A,0.303711
200758_s_at,383,A,0.601074
200759_x_at,1799.2,A,0.067627
200760_s_at,984.5,P,0.023926
200761_s_at,1003.7,P,0.00415
200762_at,1280.4,P,0.000244
200763_s_at,16898.3,P,0.000244
200764_s_at,829.3,P,0.00415
200765_x_at,916.7,A,0.149658
200766_at,154.8,A,0.976074
200767_s_at,728.5,A,0.246094
200768_s_at,1652.3,P,0.008057
200769_s_at,857.2,A,0.246094
200770_s_at,217.4,A,0.828613
200771_at,645.3,A,0.533936
200772_x_at,14802.1,P,0.000244
200773_x_at,12567.2,P,0.000244
200774_at,2479.1,P,0.018555
200775_s_at,3316.7,P,0.001953
200776_s_at,1201.1,P,0.030273
200777_s_at,942.3,P,0.030273
200778_s_at,1036.8,P,0.001221
200779_at,3880.8,A,0.067627
200780_x_at,9207.6,P,0.000244
200781_s_at,15009.7,P,0.000244
200782_at,1504.4,P,0.005859
200783_s_at,1131,A,0.067627
200784_s_at,163.1,A,0.962402
